File: memory-profile.test
Type: cpu
Time: 2026-09-14 01:37:24 EDT
Duration: 5.08s, Total samples = 4.92s (96.79%)
Active filters:
   focus=Service.*Recall
Showing nodes accounting for 3.68s, 74.80% of 4.92s total
Dropped 7 nodes (cum <= 0.02s)
Showing top 30 nodes out of 68
      flat  flat%   sum%        cum   cum%
         0     0%     0%      3.70s 75.20%  github.com/acoz-labs/mandalore/internal/memory.(*Service).Recall
         0     0%     0%      3.70s 75.20%  github.com/acoz-labs/mandalore/internal/memory.(*Store).Recall
         0     0%     0%      3.70s 75.20%  github.com/acoz-labs/mandalore/internal/memory_test.BenchmarkRetrieval.func1.1
         0     0%     0%      3.70s 75.20%  github.com/acoz-labs/mandalore/internal/memory_test.BenchmarkRetrieval.func1.1.1
         0     0%     0%      3.70s 75.20%  github.com/acoz-labs/mandalore/internal/testfixture.Measure
         0     0%     0%      3.70s 75.20%  testing.(*B).runN
     3.68s 74.80% 74.80%      3.68s 74.80%  syscall.rawsyscalln
         0     0% 74.80%      3.68s 74.80%  syscall.syscalln
         0     0% 74.80%      3.53s 71.75%  testing.(*B).launch
         0     0% 74.80%      3.51s 71.34%  syscall.syscall
         0     0% 74.80%      3.15s 64.02%  os.ignoringEINTR (inline)
         0     0% 74.80%      2.53s 51.42%  github.com/acoz-labs/mandalore/internal/memory.readJSON
         0     0% 74.80%      2.06s 41.87%  os.open (inline)
         0     0% 74.80%      2.06s 41.87%  syscall.Open
         0     0% 74.80%      2.04s 41.46%  github.com/acoz-labs/mandalore/internal/memory.(*Store).validateGraph (inline)
         0     0% 74.80%      2.04s 41.46%  github.com/acoz-labs/mandalore/internal/memory.(*Store).validateGraphWithSources
         0     0% 74.80%      2.04s 41.46%  github.com/acoz-labs/mandalore/internal/memory.validateRevisionGraph
         0     0% 74.80%      1.66s 33.74%  github.com/acoz-labs/mandalore/internal/memory.(*Store).revisions
         0     0% 74.80%      1.64s 33.33%  path/filepath.WalkDir
         0     0% 74.80%      1.63s 33.13%  path/filepath.walkDir
         0     0% 74.80%      1.47s 29.88%  os.ReadFile
         0     0% 74.80%      1.42s 28.86%  github.com/acoz-labs/mandalore/internal/memory.(*Store).deviceExists
         0     0% 74.80%      1.20s 24.39%  os.Open (inline)
         0     0% 74.80%      1.20s 24.39%  os.OpenFile
         0     0% 74.80%      1.20s 24.39%  os.openFileNolog
         0     0% 74.80%      1.20s 24.39%  os.openFileNolog.func1 (inline)
         0     0% 74.80%      1.13s 22.97%  os.ReadDir
         0     0% 74.80%      1.09s 22.15%  os.Lstat
         0     0% 74.80%      1.09s 22.15%  os.lstatNolog
         0     0% 74.80%      1.09s 22.15%  os.lstatNolog.func1 (inline)
